,Site,Rate,N,Average Rate (m/yr),MAE (m/yr)
0,Rangitikei,All,25,0.9469227164796323,0.6643588332346414
1,Rangitikei,< 1 m/yr,19,0.2521279325732441,0.45828411731296753
2,Rangitikei,> 1 m/yr,6,3.1471061988498614,1.316928766986609
3,Bird,All,17,2.8773577527073164,0.8166352900436104
4,Bird,< 1 m/yr,2,0.6442357676692547,0.435740601732101
5,Bird,> 1 m/yr,15,3.1751073507123917,0.8674212484851449
6,Both,All,42,1.7282892787622666,0.7259945419430336
7,Both,< 1 m/yr,21,0.2894715359157213,0.45613711582907546
8,Both,> 1 m/yr,21,3.1671070216088117,0.9958519680569916
